"iso_code","country","Y","X1","X2","X3","X4","X5","D","l_Y","l_X1","l_X2","l_X5"
"SYC","Seychelles",25.76610602,75.36899403,31.40374751,5.96,6.77,27978.17706,"HighFreedom",3.2490599080857,4.3223959706786,3.4469272332451,10.2391800945602
"SGP","Singapore",244.5847698,51.0858155,6.431087271,8.58,8.2,133571.9624,"HighFreedom",5.4995619555745,3.93350687550607,1.86114361742296,11.8023956557851
"SVK","Slovak Republic",52.32085186,20.70374777,60.75290219,6.71,6.75,38623.67106,"HighFreedom",3.95739498874423,3.03031473557427,4.10681485375448,10.5616206073945
"SVN","Slovenia",60.15589856,71.15639741,21.41383747,6.78,6.28,47064.15179,"HighFreedom",4.09693950178561,4.26488023489999,3.06403732381281,10.7592668817218
"ZAF","South Africa",46.91286335,46.09801514,8.476996226,5.91,6.48,13777.19275,"LowFreedom",3.8482919097016,3.83076989354423,2.1373561684215,9.53076980465588
"ESP","Spain",85.3565992,33.48579956,89.81295422,7.43,7.14,46649.56354,"HighFreedom",4.44683776552505,3.51112145523133,4.49772922125165,10.750418850176
"SUR","Suriname",76.60435805,10.44495509,27.85321356,4.9,5.9,18742.58738,"LowFreedom",4.3386539687313,2.34611909533437,3.3269483478674,9.83855361349787
"SWE","Sweden",69.09843482,24.59290536,10.58604385,8.58,6.88,63215.4363,"HighFreedom",4.23553207957642,3.20245800134304,2.35953651569058,11.0543037955651
"CHE","Switzerland",171.2329175,35.05338632,89.49144284,8.32,7.65,82777.29358,"HighFreedom",5.14302472034197,3.5568722227938,4.49414300998356,11.3239090706392
"TJK","Tajikistan",28.24879123,12.36956016,3.637605368,3.77,6.11,4213.756184,"LowFreedom",3.34105066835842,2.51523862877951,1.29132559922584,8.34610973412358
"TZA","Tanzania",17.76814881,5.638881177,2.357880703,5.21,6.63,3546.980957,"LowFreedom",2.8774074617259,1.72968567295913,0.857763208384108,8.17385208599688
"THA","Thailand",85.43177076,99.73388034,8.695374094,5.08,6.68,20762.79526,"HighFreedom",4.44771805456196,4.60250544210968,2.16279117091754,9.94091797465126
"TLS","Timor-Leste",53.54941273,5.379296433,15.46547724,4.5,6.82,5347.00759,"LowFreedom",3.98060483007359,1.68255759108664,2.73861026502074,8.58429235443529
"TGO","Togo",59.40093714,6.919241048,4.821386049,4.66,6.01,2662.259171,"LowFreedom",4.08431000301182,1.93430608847031,1.57306144875767,7.88693035372006
"TTO","Trinidad and Tobago",53.2575768,44.62813472,10.48492322,5.39,6.19,30793.39983,"LowFreedom",3.9751400817916,3.79836448345901,2.34993834148492,10.3350556547643
"TUN","Tunisia",69.81419435,33.31803927,22.50804035,4.72,5.38,12702.45358,"LowFreedom",4.24583734654386,3.50609897012901,3.11387259426536,9.44955044906247
"TUR","Türkiye",50.02561989,14.44276603,78.72139266,4.74,5.81,32748.3189,"LowFreedom",3.91253527199722,2.67019366844478,4.36591494389848,10.3966069084482
"UGA","Uganda",18.39453436,2.315005624,3.631902265,4.54,6.43,2724.906096,"LowFreedom",2.91205357483597,0.839412116908896,1.28975655096068,7.91018924632009
"UKR","Ukraine",33.3886485,15.43845793,80.87887211,4.53,4.27,13787.12109,"LowFreedom",3.5082159769459,2.73686166460879,4.39295262938748,9.5314901810445
"ARE","United Arab Emirates",120.3621526,53.64939526,7.660736061,6.94,6.62,68867.82593,"HighFreedom",4.79050513628121,3.98247019706537,2.03610807065037,11.1399443803042
"URY","Uruguay",55.55971491,9.656125336,304.149729,6.29,6.9,30804.70328,"HighFreedom",4.01745838666347,2.26759246382698,5.71752010975859,10.3354226611997
"VNM","Vietnam",131.3749439,27.74648821,3.026817684,5.34,5.85,12979.7639,"LowFreedom",4.87805540217514,3.3231092811932,1.10751179829506,9.47114680057031
"ZMB","Zambia",29.76389787,2.66372651,7.991179531,5.14,5.61,3585.123791,"LowFreedom",3.39329617820269,0.979726085996688,2.07833837478994,8.18454828270256
