DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2022
IMF.STA:FAS(4.0.0),ZMB.OUTD_COMBANK.POGDP.A,OBS_VALUE,Zambia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,29.76389787
IMF.STA:FAS(4.0.0),COG.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Congo, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,25.49071927
IMF.STA:FAS(4.0.0),TGO.OUTD_COMBANK.POGDP.A,OBS_VALUE,Togo,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,59.40093714
IMF.STA:FAS(4.0.0),LBY.OUTD_COMBANK.POGDP.A,OBS_VALUE,Libya,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,46.77014874
IMF.STA:FAS(4.0.0),KEN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Kenya,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,37.05551184
IMF.STA:FAS(4.0.0),DZA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Algeria,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,43.07684052
IMF.STA:FAS(4.0.0),LAO.OUTD_COMBANK.POGDP.A,OBS_VALUE,Lao People's Democratic Republic,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,82.95751268
IMF.STA:FAS(4.0.0),GIN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Guinea,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,23.14316758
IMF.STA:FAS(4.0.0),KOR.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Korea, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,84.25979809
IMF.STA:FAS(4.0.0),JPN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Japan,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,171.3807463
IMF.STA:FAS(4.0.0),BTN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Bhutan,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,41.8418932
IMF.STA:FAS(4.0.0),OMN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Oman,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,61.32301657
IMF.STA:FAS(4.0.0),ARE.OUTD_COMBANK.POGDP.A,OBS_VALUE,United Arab Emirates,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,120.3621526
IMF.STA:FAS(4.0.0),ARE.FA26N.PHTADLT_NUM.A,OBS_VALUE,United Arab Emirates,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,7.660736061
IMF.STA:FAS(4.0.0),KWT.OUTD_COMBANK.POGDP.A,OBS_VALUE,Kuwait,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,74.19428137
IMF.STA:FAS(4.0.0),TLS.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Timor-Leste, Democratic Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,53.54941273
IMF.STA:FAS(4.0.0),AUS.OUTD_COMBANK.POGDP.A,OBS_VALUE,Australia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,84.34907956
IMF.STA:FAS(4.0.0),MKD.OUTD_COMBANK.POGDP.A,OBS_VALUE,"North Macedonia, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,60.52743909
IMF.STA:FAS(4.0.0),TJK.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Tajikistan, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,28.24879123
IMF.STA:FAS(4.0.0),TJK.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Tajikistan, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.637605368
IMF.STA:FAS(4.0.0),ARE.FA18N.PHTADLT_NUM.A,OBS_VALUE,United Arab Emirates,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,53.64939526
IMF.STA:FAS(4.0.0),PAK.OUTD_COMBANK.POGDP.A,OBS_VALUE,Pakistan,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,28.73367058
IMF.STA:FAS(4.0.0),TZA.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Tanzania, United Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,17.76814881
IMF.STA:FAS(4.0.0),HKG.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Hong Kong Special Administrative Region, People's Republic of China","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,548.7616701
IMF.STA:FAS(4.0.0),TJK.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Tajikistan, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,12.36956016
IMF.STA:FAS(4.0.0),TTO.FA26N.PHTADLT_NUM.A,OBS_VALUE,Trinidad and Tobago,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,10.48492322
IMF.STA:FAS(4.0.0),TTO.FA18N.PHTADLT_NUM.A,OBS_VALUE,Trinidad and Tobago,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,44.62813472
IMF.STA:FAS(4.0.0),BHS.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Bahamas, The",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,119.1968916
